AT;BE;BG;HR;CZ;DK_1;DK_2;EE;FI;FR;DE_LU;GR;HU;IE_SEM;IT_CALA;IT_CNOR;IT_CSUD;IT_NORD;IT_SARD;IT_SICI;IT_SUD;LV;LT;NL;PL;PT;RO;SK;SI;ES;SE_1;SE_2;SE_3;SE_4
14.376;14.376;14.437999999999999;14.376;14.376;14.376;14.376;14.437999999999999;14.437999999999999;14.376;14.376;18.791;14.376;19.9;18.889;19.375;18.889;19.375;18.889;18.889;18.889;14.437999999999999;14.437999999999999;14.376;14.376;12.8;14.437999999999999;14.376;14.376;13.0;14.376;14.376;14.376;14.376
14.819999999999999;14.819999999999999;14.376;14.819999999999999;14.819999999999999;14.819999999999999;14.819999999999999;14.376;14.376;14.819999999999999;14.819999999999999;18.889;14.819999999999999;19.35;19.574;19.574;19.574;19.574;19.574;19.574;19.574;14.376;14.376;14.819999999999999;14.609;12.8;14.376;14.819999999999999;14.819999999999999;13.1;14.819999999999999;14.819999999999999;14.819999999999999;14.819999999999999
15.534;15.534;14.819999999999999;15.534;15.534;15.534;15.534;14.819999999999999;14.819999999999999;15.534;15.534;20.369999999999997;15.534;18.431;19.909;19.909;19.909;19.909;19.909;19.909;19.909;14.819999999999999;14.819999999999999;15.534;14.586000000000002;12.9;14.819999999999999;15.534;15.534;12.8;15.534;15.534;15.534;15.534
16.3;16.330000000000002;15.534;16.334;16.279;16.288999999999998;16.288999999999998;15.534;15.534;16.317;16.288999999999998;36.376999999999995;16.398;19.5;20.621000000000002;20.621000000000002;20.621000000000002;20.621000000000002;20.621000000000002;20.621000000000002;20.621000000000002;15.534;15.534;16.4;14.663;14.0;15.534;16.313;16.317;13.187999999999999;16.288999999999998;16.288999999999998;16.288999999999998;16.288999999999998
17.131999999999998;17.581;16.380000000000003;17.101;17.044999999999998;17.0;17.0;16.288999999999998;16.288999999999998;17.380000000000003;17.0;34.876999999999995;17.071;21.049;26.2;26.2;26.2;26.2;26.2;26.2;26.2;16.288999999999998;16.288999999999998;18.568;14.528;17.474;16.380000000000003;17.055;17.118000000000002;16.0;17.0;17.0;17.0;17.0
17.474;17.474;17.077;17.474;17.474;17.474;17.474;17.0;17.0;17.474;17.474;36.376999999999995;17.474;18.862000000000002;24.7;24.7;24.7;24.7;24.7;24.7;24.7;17.0;17.0;17.474;14.543000000000001;16.576;17.077;17.474;17.474;17.474;17.474;17.474;17.474;17.474
16.490000000000002;16.645;17.474;16.48;16.46;16.446;16.446;17.474;17.474;16.576;16.446;30.124000000000002;16.469;16.697;25.0;25.0;25.0;25.0;25.0;25.0;25.0;17.474;17.474;16.990000000000002;14.553999999999998;15.3;17.474;16.464;16.486;16.576;16.446;16.446;16.446;16.446
15.3;15.3;16.472;15.3;15.3;15.3;15.3;16.446;16.446;15.3;15.3;35.376999999999995;15.3;13.959999999999999;21.095;21.095;21.095;21.095;21.095;21.095;21.095;16.446;16.446;15.3;14.722999999999999;14.166999999999998;16.472;15.3;15.3;15.3;15.3;15.3;15.3;15.3
14.166999999999998;14.166999999999998;15.3;14.166999999999998;14.166999999999998;14.166999999999998;14.166999999999998;15.3;15.3;14.166999999999998;14.166999999999998;35.876999999999995;14.166999999999998;15.5;19.909;19.909;19.909;19.909;19.909;19.909;19.909;15.3;15.3;14.166999999999998;14.166999999999998;13.491;15.3;14.166999999999998;14.166999999999998;14.166999999999998;14.166999999999998;14.166999999999998;14.166999999999998;14.166999999999998
13.491;13.491;14.166999999999998;13.491;13.491;13.491;13.166999999999998;14.166999999999998;14.166999999999998;13.491;13.491;28.452999999999996;13.491;9.751999999999999;19.447;19.447;19.447;19.447;19.447;19.447;19.447;14.166999999999998;14.166999999999998;13.491;13.754;12.422;14.166999999999998;13.491;13.491;13.491;13.166999999999998;13.166999999999998;13.166999999999998;13.166999999999998
